Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шведченко,Віталій,Лукʼянович,Чоловіча,1961-10-12,Секретар,місто Нетішин,"вулиця Театральний, буд. 64, Сміла, 47382",559 93 49,etkachenko@example.com
Теліженко,Леонтій,Демʼянович,Чоловіча,1958-03-23,Детектив,селище Радивилів,"проспект Оранжерейний, буд. 08, Карлівка, 11008",+380 46 645 42 46,hnestaiko@example.org
Ільєнко,Аврелій,Богодарович,Чоловіча,2006-06-29,Сантехнік,місто Оріхів,"проспект Дубовий гай, буд. 45 кв. 7, Глиняни, 98130",047 407 10 50,nadiia36@example.org
Удовенко,Леонтій,Валерійович,Чоловіча,1953-05-31,Слідчий,село Мала Виска,"сквер Левкоєва, буд. 1 кв. 3, Бар, 65597",+380 (83) 209-71-70,nosachenkoarkadii@example.com
Андрійчук,Владислав,Валентинович,Чоловіча,1953-01-28,Хімік,хутір Кодима,"шосе Студентський, буд. 4 кв. 407, Бобровиця, 68799",+380 48 723-93-70,ustym15@example.net
Христенко,Августин,Єфремович,Чоловіча,1944-07-13,Конструктор,село Обухів,"проспект Єфімова, буд. 1, Городенка, 44901",472-19-50,komarmykyta@example.org
Баштан,Артем,Венедиктович,Чоловіча,1951-06-01,Геолог,село Чортків,"вулиця Джерельна, буд. 0 кв. 799, Трускавець, 64149",+380 40 051-90-24,rostyslav59@example.net
Зінченко,Михайло,Адамович,Чоловіча,1968-09-14,Фотограф,село Радомишль,"вулиця Польова, буд. 222 кв. 516, Канів, 66109",043 593-73-68,vasylevychparmen@example.com
Габелко,Августин,Зиновійович,Чоловіча,1938-08-20,Модель,селище Перещепине,"проспект 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 20 кв. 23, Кам'янка-Дніпровська, 26845",+380 78 723-97-38,iakovenkoiustym@example.org
Тесленко,Феофан,Васильович,Чоловіча,2005-02-17,Антрополог,хутір Отаманівка,"площа Успенський, буд. 441, Антрацит, 95675",+380 69 072-15-55,babiichukpavlo@example.net
Засенко,Омелян,Андрійович,Чоловіча,1955-03-05,Машиніст,село Сіверськодонецьк,"провулок Цимлянська, буд. 320, Тячів, 81828",058 684 80 67,violettazaika@example.com
Саченко,Тарас,Омелянович,Чоловіча,2002-12-30,Машиніст,місто Запоріжжя,"сквер Любашівський, буд. 882, Петрово-Красносілля, 46376",099 337-27-89,dziubamykhailo@example.org
Рябченко,Дмитро,Антонович,Чоловіча,1953-05-24,Маркетолог,село Бобринець,"проспект Селищний, буд. 8 кв. 070, Буча, 62771",006 894-73-14,goliashivan@example.org
Гаврилишин,Остап,Альбертович,Чоловіча,2006-07-20,Хореограф,місто Бершадь,"сквер Західний 4-й, буд. 22, Городня, 60231",+380 82 192-20-77,andriimykhailychenko@example.com
Бабак,Леон,Антонович,Чоловіча,1960-07-25,Будник,хутір Борислав,"вулиця Госпітальєрів, буд. 45, Дебальцеве, 31123",074 350 34 66,makarenkoandrii@example.org
Башполченко,Омелян,Сергійович,Чоловіча,1965-05-11,Візажист,місто Ромни,"площа 12-та ст. Великого Фонтану пляж, буд. 67 кв. 26, Заставна, 79845",488 57 11,aleksiukstefan@example.org
Цюпа,Кирило,Аврелійович,Чоловіча,1963-05-24,Геолог,селище Сокиряни,"сквер Євгена Крамаренка, буд. 54, Сколе, 27572",032 852 90 13,donishchuk@example.org
Рудько,Венедикт,Степанович,Чоловіча,1998-06-13,Музикант,село Кілія,"узвіз Виїзна, буд. 37 кв. 203, Феодосія, 03020",276 31 09,boleslavshakhrai@example.com
Ніколюк,Устим,Тарасович,Чоловіча,2000-12-06,Адвокат,селище Кадіївка,"узвіз Головківська, буд. 669 кв. 4, Снятин, 90847",796-42-51,iaremavolodymyr@example.org
Теліженко,Едуард,Станіславович,Чоловіча,1947-05-23,Штукатур,хутір Бахчисарай,"узвіз Садиковська, буд. 94, Брянка, 61746",+380 (69) 329-62-24,dierchenko@example.org
Гресь,Ростислав,Миронович,Чоловіча,1987-10-23,Кінокритик,хутір Кривий Ріг,"шосе Студентський 5-й, буд. 2, Берестин, 90295",+380 39 313 95 24,dfesenko@example.net
Дашенко,Панас,Орестович,Чоловіча,1964-05-31,Реставратор,селище Комарно,"набережна Флотський 3-й, буд. 7, Мирноград, 75153",+380 (07) 676-38-08,bezditkovasylyna@example.com
Чумаченко,Августин,Ігорович,Чоловіча,1997-12-04,Дизайнер,селище Олександрівськ,"узвіз Юрія Єгорова, буд. 26 кв. 81, Судова Вишня, 63865",312 53 45,boryslavkhomenko@example.org
Дейсун,Пантелеймон,Пилипович,Чоловіча,1994-04-08,Реабілітолог,селище Тернопіль,"шосе Деревообробний 1-й, буд. 24 кв. 623, Авдіївка, 98474",080 645 53 12,devdiukpavlo@example.net
Дергач,Ігнат,Макарович,Чоловіча,1988-07-18,Біолог,село Жмеринка,"провулок Одеса-Головна, буд. 28 кв. 24, Суходільськ, 39006",001 909 67 37,nteslia@example.net
Левченко,Азар,Опанасович,Чоловіча,1952-07-13,Медик,місто Сокаль,"проспект Тетяни Тесс, буд. 911 кв. 587, Джанкой, 54061",092 794 71 88,fturkalo@example.com
Іщенко,Хома,Адамович,Чоловіча,1976-04-15,Кіноактор,село Турка,"набережна Почаївська, буд. 0, Ірміно, 13978",+380 (95) 617-05-98,trokhym73@example.com
Медведенко,Нестор,Єфремович,Чоловіча,1964-02-19,Клоун,місто Кагарлик,"набережна Тіниста, буд. 93 кв. 4, Батурин, 96587",467-72-63,babychenkozynovii@example.net
Фаренюк,Дмитро,Віталійович,Чоловіча,1984-07-30,Модель,селище Хоростків,"вулиця Іспанський, буд. 4 кв. 090, Конотоп, 59715",115 73 41,galaganhennadii@example.com
Зінченко,Артем,Миколайович,Чоловіча,1942-01-19,Детектив,селище Біла Церква,"проспект Кримська, буд. 8, Чуднів, 76633",+380 10 320 61 28,maryna30@example.com
Тарасенко,Георгій,Амвросійович,Чоловіча,1958-10-07,Нотаріус,хутір Новомиргород,"площа Танфільєва, буд. 810, Мелітополь, 41088",051 840 39 92,levko06@example.org
Фоменко,Олег,Аврелійович,Чоловіча,1994-12-30,Кінолог,село Тальне,"сквер Петра Біциллі, буд. 4, Добропілля, 16198",+380 04 173 80 25,rostyslavivanenko@example.net
Андріїшин,Василь,Кирилович,Чоловіча,1977-01-31,Водій,село Нововолинськ,"набережна Заводська 4-та, буд. 1 кв. 647, Федорівка, 65044",+380 49 705-58-30,vudovenko@example.net
Влох,Олександр,Борисович,Чоловіча,1972-10-29,Випробувач,селище Харків,"шосе Олександра Станкова, буд. 4 кв. 951, Багачеве, 58868",044 548 74 24,fartushniakhennadii@example.com
Лукаш,Валерій,Семенович,Чоловіча,1951-01-06,Різноробочий,село Богуслав,"парк 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 55, Ладижин, 17239",420 62 88,deinekonadiia@example.net
Данченко,Опанас,Пантелеймонович,Чоловіча,1955-01-28,Агроном,місто Яремче,"парк Газовий, буд. 143 кв. 34, Маріуполь, 59440",+380 42 465 24 16,jvasylevych@example.com
Оробець,Яків,Дмитрович,Чоловіча,1996-04-14,Кінорежисер,хутір Почаїв,"парк Ігоря Бедзая, буд. 7, Соснівка, 09122",004 486 28 18,ivanvlasenko@example.org
Карась,Вʼячеслав,Хомович,Чоловіча,1988-01-08,Геолог,місто Гуляйполе,"шосе Ольги Благовидової, буд. 075, Славутич, 28212",018 366-71-19,khomaizhakevych@example.net
Авраменко,Остап,Степанович,Чоловіча,1982-08-05,Паралегал,місто Судова Вишня,"провулок Матеріальний 1-й, буд. 734, Нікополь, 02861",032 613 31 94,iaroslavahaida@example.org
Ґоляш,Левко,Павлович,Чоловіча,1972-11-22,Гірничий інженер,село Бунге,"проспект Теофіла Фраєрмана, буд. 1, Кременчук, 90826",+380 73 508 79 17,parmen60@example.net
Гук,Юстим,Микитович,Чоловіча,1953-10-05,Різноробочий,селище Куп'янськ,"площа Деревообробна, буд. 95 кв. 679, Христинівка, 86310",561-83-90,stepan96@example.org
Копитко,Демид,Станіславович,Чоловіча,2007-02-02,Палеонтолог,селище Глобине,"набережна Лінія 35-та, буд. 59 кв. 999, Довжанськ, 53775",032 408-99-67,dannaiurchenko@example.org
Рябовіл,Лукʼян,Бориславович,Чоловіча,1984-11-24,Громадський діяч,місто Вугледар,"площа Моторний 2-й, буд. 44 кв. 996, Миргород, 55180",+380 35 387-84-30,balabanmyroslav@example.org
Іваненко,Давид,Едуардович,Чоловіча,1986-12-07,Льотчик,місто Сіверськодонецьк,"сквер Кришталева, буд. 19 кв. 9, Городня, 03614",016 859-03-68,ilienkotaras@example.com
Данькевич,Аркадій,Олексович,Чоловіча,1998-02-19,Менеджер,хутір Монастириська,"провулок Миколи Пильчикова, буд. 037, Монастириська, 79202",043 673 18 47,pdubas@example.com
Олійник,Мирон,Ааронович,Чоловіча,1983-12-13,Художник,селище Сватове,"площа Амбулаторний 1-й, буд. 9, Петрово-Красносілля, 76659",432 30 72,deisunvasylyna@example.net
Дрозд,Станіслав,Ааронович,Чоловіча,1999-03-05,Реставратор,хутір Новгород-Сіверський,"шосе Панаса Саксаганського, буд. 4, Золоте, 04679",758 00 33,veniiamynkhrystych@example.org
Ґерус,Трохим,Зиновійович,Чоловіча,2003-11-04,Кіноактор,село Коростишів,"вулиця Професора Каришковського, буд. 85 кв. 05, Кілія, 92490",000 949-94-74,svitlana55@example.net
Пилипенко,Іван,Прохорович,Чоловіча,2003-12-16,Сценарист,місто Дружківка,"парк Академічна, буд. 20 кв. 15, Дубляни, 46579",+380 00 269 85 91,rvobla@example.net
Жаліло,Володимир,Єфремович,Чоловіча,1967-03-26,Краєзнавець,село Житомир,"вулиця Аптекарський, буд. 384, Новоукраїнка, 74449",+380 90 671 01 28,mykytahuzenko@example.net
Ващенко,Пантелеймон,Захарович,Чоловіча,1980-11-11,Ювелір,селище Кременець,"узвіз Сабанський, буд. 870, Узин, 44737",+380 (30) 640-57-32,havrylyshynmykhailo@example.org
Ґереґа,Зорян,Вадимович,Чоловіча,1983-12-25,Конструктор,селище Буча,"вулиця Український 2-й, буд. 1, Жовті Води, 95902",671-44-47,iaroslavvlasiuk@example.net
Даниленко,Андрій,Дмитрович,Чоловіча,1968-03-02,Літературознавець,місто Березне,"сквер Різовська, буд. 264 кв. 4, Ромни, 92500",+380 (62) 276-46-88,tsiupaklyment@example.com
Забарний,Зиновій,Кирилович,Чоловіча,2004-05-21,Флорист,місто Гайворон,"площа Інглезі, буд. 75 кв. 4, Луцьк, 95224",461-56-19,vitrukieva@example.org
Бабенко,Кирило,Михайлович,Чоловіча,1965-07-09,Пекар,місто Ланівці,"площа Кипарисний 3-й, буд. 8 кв. 803, Комарно, 45892",249-61-99,ozinkevych@example.org
Гресь,Степан,Пилипович,Чоловіча,1995-01-12,Дантист,хутір Кам'янське,"сквер Соціальна, буд. 7 кв. 0, Лубни, 02892",202 09 98,dshelest@example.com
Чумак,Едуард,Григорійович,Чоловіча,1949-10-06,Публіцист,село Радомишль,"парк Балтський 5-й, буд. 348, Рубіжне, 42562",131 48 14,afranko@example.net
Парасюк,Яків,Русланович,Чоловіча,1963-06-25,Бухгалтер,село Новий Калинів,"проспект Уманська, буд. 367, Святогірськ, 12351",+380 32 300-23-05,snizhanalahoda@example.net
Бандурка,Давид,Георгійович,Чоловіча,1997-12-31,Гірничий інженер,село Заліщики,"сквер Опішнянський, буд. 8 кв. 70, Славутич, 17508",+380 62 451-73-71,baidaliudmyla@example.com
Смик,Віталій,Олегович,Чоловіча,1952-01-03,Археолог,хутір Калинівка,"площа Журавлина, буд. 1, Козятин, 19620",+380 31 798-46-55,huziiroman@example.com
Корбут,Франц,Мирославович,Чоловіча,1975-03-21,Шериф,селище Ладижин,"набережна Ватманський, буд. 6, Тернівка, 21625",+380 57 901-32-65,eiarema@example.org
Ісаєнко,Герман,Назарович,Чоловіча,1942-08-01,Стропальник,селище Кременець,"парк Рожева, буд. 085, Заводське, 40594",007 968-61-39,vitervalentyn@example.net
Абрагамовський,Олександр,Богуславович,Чоловіча,1948-11-15,Різноробочий,місто Біляївка,"парк Льва Симиренка, буд. 14, Судова Вишня, 83219",+380 28 558 12 42,odarkavivcharenko@example.com
Пустовіт,Пармен,Пилипович,Чоловіча,1974-10-11,Слідчий,селище Старий Крим,"провулок Вірського, буд. 120, Ірпінь, 28434",+380 39 340-26-17,aaron80@example.org
Тесля,Амвросій,Антонович,Чоловіча,1976-04-23,Астрофізик,хутір Коростишів,"набережна Юрія Єгорова, буд. 477, Городок, 74733",417-11-83,myroslav83@example.net
Удовенко,Ярослав,Едуардович,Чоловіча,1977-02-02,Доцент,хутір Ізяслав,"проспект Житомирська, буд. 4, Кипуче, 58086",+380 86 938-87-48,havrylyshyniukhym@example.net
Кабаненко,Панас,Симонович,Чоловіча,1975-02-17,Гірник,село Здолбунів,"провулок Тетяни Тесс, буд. 5, Лисичанськ, 85973",950-91-16,vdovychenkoirena@example.net
Уманець,Василь,Миколайович,Чоловіча,1967-01-11,Мірошник,хутір Чернівці,"вулиця Фонтанська дорога, буд. 25, Донецьк, 29177",062 676 96 77,ievaiurchenko@example.net
Нестайко,Ігнат,Русланович,Чоловіча,1965-01-22,Електрик,село Макіївка,"проспект Асташкіна, буд. 3 кв. 2, Бровари, 05245",041 975 73 45,lvyshniak@example.net
Остапчук,Тимофій,Богуславович,Чоловіча,1943-01-08,Золотар,хутір Збараж,"узвіз Сергія Ейзенштейна, буд. 02, Болград, 29729",+380 (87) 770-14-88,samoilenkosviatoslav@example.com
Акуленко,Веніямин,Леонідович,Чоловіча,2003-05-02,Намотувальник,село Кипуче,"вулиця Кредитний, буд. 75 кв. 07, Бердичів, 49258",796-64-30,qvyshniak@example.com
Деряжний,Йосип,Микитович,Чоловіча,1998-06-03,Дантист,хутір Південне,"парк Юрія Коваленка, буд. 51 кв. 367, Стрий, 22533",032 840-77-51,iustymshyian@example.com
Міщенко,Тарас,Миронович,Чоловіча,2002-09-27,Слідчий,село Соледар,"сквер Жевахова, буд. 155, Сновськ, 17338",+380 92 782-90-05,vasylevychstanislav@example.org
Самойленко,Аврелій,Ігнатович,Чоловіча,1973-07-30,Гірничий інженер,селище Могилів-Подільський,"узвіз Патріотична, буд. 95, Севастополь, 90895",080 903-81-92,vdovenkofeofan@example.com
Негода,Амвросій,Кирилович,Чоловіча,2001-03-14,Кінорежисер,хутір Мелітополь,"вулиця Пересипська 3-тя, буд. 91 кв. 536, Берегове, 89451",+380 93 657 02 25,viacheslavzabashta@example.org
Забарний,Демид,Васильович,Чоловіча,1945-11-30,Клоун,село Курахове,"парк Дмитріївська, буд. 1, Бахчисарай, 70893",+380 24 851-39-36,zakhar08@example.net
Батуринець,Борис,Іванович,Чоловіча,1940-11-23,Журналіст,місто Антрацит,"площа Юрія Олеші, буд. 7, Армянськ, 07106",021 443 61 51,durdynetskhrystyna@example.net
Гайдамака,Макар,Варфоломійович,Чоловіча,1952-06-12,Хімік,село Дніпро,"набережна Володі Дубініна, буд. 2 кв. 9, Рогатин, 17208",+380 61 730-30-95,symonbebeshko@example.net
Вдовенко,Валерій,Михайлович,Чоловіча,1975-12-29,Історик,село Новоселиця,"набережна Топольського, буд. 272 кв. 2, Немирів, 34426",+380 (74) 687-29-80,oleksaromanchuk@example.com
Червоненко,Пантелеймон,Азарович,Чоловіча,1987-11-26,Епідеміолог,хутір Болехів,"шосе Лазурний 4-й, буд. 068, Гола Пристань, 90887",061 599 99 84,davymukasnizhana@example.com
Ващенко-Захарченко,Руслан,Зиновійович,Чоловіча,1976-02-02,Перекладач,хутір Баштанка,"шосе Дмитріївська, буд. 8, Хрустальний, 36168",+380 64 973-97-07,chaikadavyd@example.com
Гаврилюк,Пантелеймон,Амвросійович,Чоловіча,1949-03-30,Маркетолог,хутір Бровари,"сквер Кам’янецький, буд. 000, Стебник, 25996",+380 (64) 766-53-73,danylo84@example.com
Андрійчук,Леон,Вікторович,Чоловіча,1984-06-08,Флорист,село Сміла,"вулиця Амбулаторна, буд. 9, Узин, 60363",385-23-06,avramchukhalyna@example.org
Канівець,Єлисей,Олександрович,Чоловіча,1966-10-22,Єгер,місто Виноградів,"проспект Мацієвської, буд. 563, Горохів, 01309",066 615 11 09,xavramchuk@example.net
Гаврюшенко,Орест,Едуардович,Чоловіча,1938-02-24,Паблік рилейшнз,місто Моршин,"набережна Сашка Хорошенка, буд. 51 кв. 8, Теребовля, 64269",031 440-98-49,dan08@example.com
Приходько,Павло,Пилипович,Чоловіча,1965-02-13,Археолог,хутір Миколаїв,"узвіз Каберне, буд. 157 кв. 5, Судова Вишня, 96633",058 908-53-82,illiatkachenko@example.net
Ярош,Тарас,Адамович,Чоловіча,2008-04-01,Громадський діяч,хутір Пустомити,"вулиця Пастера, буд. 36, Брянка, 48418",+380 31 228-22-21,iholyk@example.com
Єрмоленко,Ростислав,Вікторович,Чоловіча,1994-07-04,Ботанік,хутір Курахове,"шосе 6-та Лінія Марії Демченко, буд. 4, Новоазовськ, 41960",+380 60 807 41 20,pelekhzynovii@example.org
Уманець,Омелян,Семенович,Чоловіча,1956-12-11,Детектив,селище Звенигородка,"провулок Хотинський, буд. 65, Бахмач, 55271",018-44-43,galaganleon@example.com
Колодуб,Захар,Трохимович,Чоловіча,1946-09-18,Доцент,хутір Острог,"вулиця Олексіївська, буд. 59, Алчевськ, 25077",046 037 58 88,kchupryna@example.org
Петрик,Станіслав,Борисович,Чоловіча,2007-09-28,Музичний редактор,село Пирятин,"площа Вапняний 3-й, буд. 549 кв. 1, Баранівка, 21606",453 99 47,solomiia07@example.com
Оробець,Микита,Романович,Чоловіча,1961-02-24,Різноробочий,місто Калинівка,"сквер Єфімова, буд. 32 кв. 27, Вугледар, 26121",+380 (69) 934-91-59,les22@example.com
Рева,Тарас,Захарович,Чоловіча,1985-11-26,Електромонтер,село Слов'янськ,"проспект Проектуєма, буд. 931 кв. 83, Бершадь, 13927",163-88-12,halyna15@example.com
Ейбоженко,Зиновій,Ярославович,Чоловіча,1967-08-28,Зоолог,хутір Буча,"парк Гобеленова, буд. 91 кв. 4, Баштанка, 18075",+380 35 500-95-18,symon91@example.com
Ющенко,Олександр,Валентинович,Чоловіча,1977-08-17,Клоун,селище Таврійськ,"шосе Юннатів 1-й, буд. 455, Підгайці, 85015",077 313-15-89,dlavrenko@example.com
Романенко,Павло,Аврелійович,Чоловіча,2005-06-04,Єгер,село Мерефа,"провулок Бокаріуса, буд. 50 кв. 9, Перемишляни, 59945",+380 91 033-35-25,sviatoslava53@example.com
Титаренко,Віталій,Богуславович,Чоловіча,1957-05-24,Фотограф,село Торецьк,"узвіз Ярмарковий, буд. 376 кв. 1, Хутір-Михайлівський, 28958",+380 (51) 812-18-38,amvrosii41@example.com
Засенко,Леопольд,Петрович,Чоловіча,2000-02-11,Астрофізик,село Герца,"узвіз Андрія Гулого-Гуленка, буд. 4, Чугуїв, 21539",083 986-65-59,pryimakvalentyn@example.com
Салій,Сергій,Орхипович,Чоловіча,2004-02-10,Агроном,селище Щолкіне,"шосе Станційна 3-тя, буд. 22 кв. 2, Винники, 83872",+380 79 462-00-28,idanylchuk@example.net
Масляк,Андрій,Орхипович,Чоловіча,1975-06-08,Художник,місто Гребінка,"набережна Флотський 4-й, буд. 97 кв. 50, Борзна, 97952",+380 98 231-80-57,kmamchur@example.net
Цюпа,Климент,Пилипович,Чоловіча,1952-10-12,Правник,хутір Київ,"сквер Штильова, буд. 8 кв. 3, Верхньодніпровськ, 88286",+380 95 433 37 17,stefan62@example.net
Тарасенко,Нестор,Леопольдович,Чоловіча,1980-07-19,Мовознавець,місто Селидове,"парк Професора Коровицького, буд. 93 кв. 8, Новоазовськ, 19855",083 922-80-24,vivcharenkoveniiamyn@example.org
Гавриленко,Адам,Леопольдович,Чоловіча,1997-08-21,Ґрунтознавець,селище Світлодарськ,"узвіз Болгарська, буд. 83 кв. 0, Герца, 05320",648 76 96,demian37@example.org
Саченко,Варфоломій,Зиновійович,Чоловіча,1985-09-09,Публіцист,місто Верхньодніпровськ,"вулиця Івана Луценка, буд. 0 кв. 293, Заліщики, 27233",038 137 83 18,illiachumak@example.org
Вернидуб,Василь,Демʼянович,Чоловіча,1993-09-12,Професор,місто Дніпрорудне,"узвіз Маріупольська, буд. 642, Євпаторія, 28151",089 922-27-08,klyment67@example.com
Шморгун,Остап,Леопольдович,Чоловіча,1983-09-05,Секретар,село Коростень,"вулиця Абрикосова, буд. 0, Городище, 61005",019 670 49 33,hohol-ianovskanadiia@example.org
Міщенко,Демид,Олексович,Чоловіча,2001-12-17,Льотчик,хутір Богодухів,"провулок Ткачова, буд. 63 кв. 75, Бахчисарай, 32137",+380 (99) 049-06-36,khrystynakarpenko@example.org
Дейсун,Назар,Йосипович,Чоловіча,1988-01-29,Актор,хутір Ямпіль,"площа Чорноморський 5-й, буд. 452, Пологи, 33589",+380 08 344-95-87,hermansatsiuk@example.org
Бандура,Вʼячеслав,Юхимович,Чоловіча,1944-11-05,Маркетолог,місто Скалат,"узвіз Заводська 2-га, буд. 81, Трускавець, 82151",008 050-91-23,uandriichuk@example.com
Якименко,Євген,Прохорович,Чоловіча,2001-10-01,Няня,хутір Долина,"набережна 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 433 кв. 4, Брянка, 39801",+380 31 910-03-77,oleh03@example.org
Голобородько,Сергій,Аркадійович,Чоловіча,1951-03-06,Реставратор,місто Кам'янське,"сквер Грецька, буд. 31, Жмеринка, 30728",557 13 07,vernydubalina@example.net
Бабенко,Лесь,Панасович,Чоловіча,1993-03-10,Режисер,місто Благовіщенське,"площа Таїрова, буд. 709, Біляївка, 55414",+380 (74) 459-96-97,odarka49@example.org
Ґерета,Пилип,Русланович,Чоловіча,1987-07-24,Прокурор,селище Синельникове,"шосе Андрія Музичка, буд. 766, Лиман, 73350",028 200-62-47,verkholaspas@example.com
Чумак,Венедикт,Русланович,Чоловіча,1948-07-19,Фармацевт,хутір Снігурівка,"сквер Коцюбинського, буд. 792, Хотин, 57482",094 664 13 37,tetianakonoplia@example.com
Примаченко,Валерій,Станіславович,Чоловіча,1953-10-01,Ґрунтознавець,місто Батурин,"площа Панченка, буд. 085, Горлівка, 95489",016 523 00 02,ruslantsushko@example.net
Колісниченко,Павло,Демʼянович,Чоловіча,1999-10-12,М'ясник,селище Калуш,"проспект Луцька, буд. 3, Апостолове, 16115",186 87 98,satsiukmyron@example.net
Андрейко,Святослав,Пантелеймонович,Чоловіча,1984-08-18,Юрист,село Хрустальний,"вулиця Чубаївський, буд. 3, Алмазна, 14867",+380 45 569-02-53,eandroshchuk@example.org
Рудик,Олесь,Степанович,Чоловіча,1951-05-09,Хімік,хутір Бунге,"узвіз Спортивна, буд. 10 кв. 20, Мала Виска, 47282",076 414 23 95,demydkhomenko@example.org
Кальченко,Йосип,Макарович,Чоловіча,1963-08-05,Будник,село Волочиськ,"провулок Фруктовий, буд. 259, Дружківка, 73382",036 072-59-23,tsarenkoteodor@example.org
Данько,Віктор,Альбертович,Чоловіча,1948-11-20,Правник,місто Скалат,"вулиця Бузкова, буд. 325 кв. 82, Південне, 33500",020 927-84-43,gbairak@example.org
Бгиденко,Роман,Демʼянович,Чоловіча,1964-09-04,Модельєр,селище Джанкой,"узвіз Спиридонівська, буд. 17, Чоп, 57486",+380 09 829-72-92,phavrysh@example.net
Чуприна,Григорій,Богданович,Чоловіча,1990-10-22,Краєзнавець,місто Жидачів,"провулок Набережна, буд. 7, Славута, 27219",076 832-62-03,demydvashchuk@example.org
Тичина,Валентин,Віталійович,Чоловіча,1939-03-05,Складальник,селище Тисмениця,"парк Херсонський, буд. 61, Любомль, 01071",153-64-02,avramchukklavdiia@example.net
Ковалюк,Василь,Мирославович,Чоловіча,1979-09-01,Літературознавець,місто Чорноморськ,"шосе Партизанської слави, буд. 210 кв. 2, Кролевець, 71572",+380 17 308-71-40,dhaidamaka@example.net
Стельмах,Симон,Мирославович,Чоловіча,1940-02-13,Ді-джей,село Скалат,"набережна Іподромний, буд. 884, Кіцмань, 75131",019 480-19-45,uderehus@example.com
Мазур,Олесь,Леонтійович,Чоловіча,1988-06-24,Хімік,село Берестин,"площа Назарівська, буд. 914, Монастириська, 21921",+380 14 824-05-75,artymovychvasylyna@example.net
Ващенко,Григорій,Євгенійович,Чоловіча,1988-10-16,Швачка,хутір Андрушівка,"шосе Остапа Вишні, буд. 74, Каховка, 52242",033 064 64 59,allasachenko@example.com
Павличенко,Назар,Андрійович,Чоловіча,1978-06-04,Етнограф,хутір Кадіївка,"вулиця Середньофонтанська, буд. 05 кв. 6, Новий Буг, 88773",055 768 29 50,paliifeofan@example.org
Василевич,Станіслав,Валентинович,Чоловіча,1960-02-11,Правник,хутір Тисмениця,"сквер Лиманна, буд. 56, Ковель, 33676",+380 24 544-03-55,ytovstolis@example.org
Шиян,Едуард,Сергійович,Чоловіча,2001-04-20,Вчитель,селище Хорол,"набережна Весняна, буд. 1 кв. 954, Білогірськ, 75043",+380 53 685-57-91,qpavlenko@example.com
Цюпа,Аркадій,Семенович,Чоловіча,1958-09-11,Клавішник,село Олевськ,"узвіз Лінія 45-та, буд. 01, Чернівці, 52996",893 15 29,lupiirostyslav@example.com
Василечко,Дан,Йосипович,Чоловіча,1965-11-20,Архітектор,місто Миколаївка,"набережна Польова, буд. 1, Пирятин, 98123",+380 31 437 98 10,zaporozhetshordii@example.org
Бабій,Симон,Гаврилович,Чоловіча,1968-10-14,Дизайнер,село Іллінці,"провулок Літературна, буд. 515, Макіївка, 85601",+380 75 641 91 15,andriienkosolomon@example.org
Свистун,Симон,Яковович,Чоловіча,1948-04-08,Каскадер,хутір Шептицький,"площа Лінія 39-та, буд. 024 кв. 418, Петрово-Красносілля, 21100",+380 74 073 97 32,ybabak@example.com
Кальченко,Валерій,Михайлович,Чоловіча,2004-10-28,Різноробочий,село Чорноморськ,"площа Прорізний, буд. 73, Ямпіль, 41843",+380 08 376-99-09,shcherbanvasyl@example.com
Дацюк,Лукʼян,Ааронович,Чоловіча,1941-07-19,Гицель,село Радомишль,"площа Хімічний 3-й, буд. 4, Тульчин, 21695",069 647 41 08,iukhymlazarenko@example.org
Ґерус,Демʼян,Артемович,Чоловіча,2001-12-30,Флорист,місто Дружківка,"парк Польова, буд. 509, Яворів, 66724",+380 37 927-92-75,eduardhaidabura@example.org
Дашкевич,Варфоломій,Олександрович,Чоловіча,1971-12-20,Парфюмер,місто Жмеринка,"проспект Флотська, буд. 12, Ромни, 12979",692 16 93,tbazavluchenko@example.net
Приймак,Альберт,Несторович,Чоловіча,1982-12-24,Гірник,село Покров,"парк Братів Малакових, буд. 0 кв. 37, Володимир-Волинський, 66700",917-99-78,miakymenko@example.net
Гайдай,Олександр,Богданович,Чоловіча,1969-09-18,Кінолог,селище Галич,"проспект Окружна, буд. 106, Пирятин, 87536",+380 88 484 66 22,halynadarahan@example.net
Шаблій,Тарас,Богодарович,Чоловіча,2005-09-02,Круп'є,місто Святогірськ,"сквер Шептицького, буд. 13, Виноградів, 99744",047 158 40 26,gbaran@example.com
Свириденко,Георгій,Теодорович,Чоловіча,1971-02-15,Сценарист,селище Коломия,"вулиця Яна Длугоша, буд. 756 кв. 13, Підгайці, 09949",054 683-77-65,iefymenkoles@example.com
Охримович,Роман,Георгійович,Чоловіча,1954-01-31,Мовознавець,місто Волноваха,"набережна Польський узвіз, буд. 928, Павлоград, 38995",+380 65 825-22-98,khomenkoparmen@example.org
Бабиченко,Пантелеймон,Миколайович,Чоловіча,2008-02-29,Електромонтажник,місто Конотоп,"шосе 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 8 кв. 8, Мар'їнка, 15693",+380 82 911-05-50,osheremeta@example.org
